Time [s],Channel 0,Channel 1
0.000000000,0,0
0.025324042,0,1
0.035307042,0,0
0.125165083,1,0
0.125197542,1,1
0.135141583,1,0
0.145126500,0,0
0.224990042,0,1
0.234972208,0,0
0.324828208,1,0
0.324860708,1,1
0.334806167,1,0
0.344791833,0,0
0.424665458,0,1
0.434650083,0,0
0.524528500,1,0
0.524560958,1,1
0.534508125,1,0
0.544496167,0,0
0.624363292,0,1
0.634345500,0,0
0.724209792,1,0
0.724242250,1,1
0.734191333,1,0
0.744179625,0,0
0.824064458,0,1
0.834048917,0,0
0.923913042,1,0
0.923945542,1,1
0.933890833,1,0
0.943875750,0,0
1.023738500,0,1
1.033719458,0,0
1.123569208,1,0
1.123601667,1,1
1.133547375,1,0
1.143533792,0,0
1.223399708,0,1
1.233382625,0,0
1.323250750,1,0
1.323283208,1,1
1.333229667,1,0
1.343218958,0,0
1.423096292,0,1
1.433079667,0,0
1.522947667,1,0
1.522980167,1,1
1.532925458,1,0
1.542913125,0,0
1.622790583,0,1
1.632774500,0,0
1.722640500,1,0
1.722672958,1,1
1.732618917,1,0
1.742605458,0,0
1.822478583,0,1
1.832461750,0,0
1.922315500,1,0
1.922348000,1,1
1.932292875,1,0
1.942277375,0,0
2.022135500,0,1
2.032117167,0,0
2.121966458,1,0
2.121998917,1,1
2.131944750,1,0
2.141928958,0,0
2.221793375,0,1
2.231777208,0,0
2.321643708,1,0
2.321676167,1,1
2.331622292,1,0
2.341608375,0,0
2.421475667,0,1
2.431457667,0,0
2.521320375,1,0
2.521352875,1,1
2.531300125,1,0
2.541288417,0,0
2.621160042,0,1
2.631143375,0,0
2.721005667,1,0
2.721038125,1,1
2.730983125,1,0
2.740968750,0,0
2.820838958,0,1
2.830822542,0,0
2.920688333,1,0
2.920720833,1,1
2.930667125,1,0
2.940654708,0,0
3.020537375,0,1
3.030522375,0,0
3.120404708,1,0
3.120437208,1,1
3.130384208,1,0
3.140372042,0,0
3.220248000,0,1
3.230231583,0,0
3.320079875,1,0
3.320112333,1,1
3.330056458,1,0
3.340041542,0,0
3.419901250,0,1
3.429882333,0,0
3.519718292,1,0
3.519750750,1,1
3.529694417,1,0
3.539678500,0,0
3.619526208,0,1
3.629505417,0,0
3.719339583,1,0
3.719372042,1,1
3.729314542,1,0
3.739297042,0,0
3.819153167,0,1
3.829135000,0,0
3.918981208,1,0
3.919013667,1,1
3.928956708,1,0
3.938940750,0,0
4.018794083,0,1
4.028775583,0,0
4.118629667,1,0
4.118662167,1,1
4.128607125,1,0
4.138592250,0,0
4.218453708,0,1
4.228435583,0,0
4.318287417,1,0
4.318319875,1,1
4.328264208,1,0
4.338250708,0,0
4.418099667,0,1
4.428080833,0,0
4.517925958,1,0
4.517958458,1,1
4.527903208,1,0
4.537889333,0,0
4.617744708,0,1
4.627726042,0,0
4.717566500,1,0
4.717598958,1,1
4.727541250,1,0
4.737524833,0,0
4.817375292,0,1
4.827356583,0,0
4.917206292,1,0
4.917238750,1,1
4.927182958,1,0
4.937168042,0,0
5.017032542,0,1
5.027015292,0,0
5.116878625,1,0
5.116911083,1,1
5.126856500,1,0
5.136841750,0,0
5.216706292,0,1
5.226688583,0,0
5.316547458,1,0
5.316579917,1,1
5.326527042,1,0
5.336513750,0,0
5.416387875,0,1
5.426371250,0,0
5.516223208,1,0
5.516255667,1,1
5.526201417,1,0
5.536186875,0,0
5.616045292,0,1
5.626028042,0,0
5.715890500,1,0
5.715922958,1,1
5.725868375,1,0
5.735854917,0,0
5.815730083,0,1
5.825712708,0,0
5.915561333,1,0
5.915593792,1,1
5.925536667,1,0
5.935519667,0,0
6.015378000,0,1
6.025357000,0,0
6.115197917,1,0
6.115230417,1,1
6.125175750,1,0
6.135161417,0,0
6.215020833,0,1
6.225003458,0,0
6.314874625,1,0
6.314907125,1,1
6.324854042,1,0
6.334841583,0,0
6.414706792,0,1
6.424688292,0,0
6.514546250,1,0
6.514578708,1,1
6.524523958,1,0
6.528000000,1,0
