Time [s],Channel 0,Channel 1
0.000000000,0,0
0.066620083,0,1
0.076604042,0,0
0.166462333,1,0
0.166477208,1,1
0.176442708,1,0
0.186427125,0,0
0.266302250,0,1
0.276285833,0,0
0.366150417,1,0
0.366165250,1,1
0.376131500,1,0
0.386116417,0,0
0.465985167,0,1
0.475968167,0,0
0.565817625,1,0
0.565832500,1,1
0.575797875,1,0
0.585781125,0,0
0.665639792,0,1
0.675621083,0,0
0.765469708,1,0
0.765484583,1,1
0.775448542,1,0
0.785430458,0,0
0.865292750,0,1
0.875277083,0,0
0.965137417,1,0
0.965152292,1,1
0.975117750,1,0
0.985101500,0,0
1.064973792,0,1
1.074956208,0,0
1.164823875,1,0
1.164838750,1,1
1.174803875,1,0
1.184788667,0,0
1.264649833,0,1
1.274631542,0,0
1.364487292,1,0
1.364502167,1,1
1.374468292,1,0
1.384453417,0,0
1.464328083,0,1
1.474310208,0,0
1.564164667,1,0
1.564179500,1,1
1.574144917,1,0
1.584128250,0,0
1.664000083,0,1
1.673983250,0,0
1.763835917,1,0
1.763850792,1,1
1.773815500,1,0
1.783798250,0,0
1.863672000,0,1
1.873653667,0,0
1.963505500,1,0
1.963520375,1,1
1.973485250,1,0
1.983467083,0,0
2.063334875,0,1
2.073317500,0,0
2.163174875,1,0
2.163189750,1,1
2.173154917,1,0
2.183138917,0,0
2.263013458,0,1
2.272997000,0,0
2.362865333,1,0
2.362880208,1,1
2.372845917,1,0
2.382829333,0,0
2.462702167,0,1
2.472685417,0,0
2.562543708,1,0
2.562558542,1,1
2.572524750,1,0
2.582509292,0,0
2.662381208,0,1
2.672362792,0,0
2.762210333,1,0
2.762225167,1,1
2.772189542,1,0
2.782172750,0,0
2.862030333,0,1
2.872010458,0,0
2.961859917,1,0
2.961874750,1,1
2.971839500,1,0
2.981822458,0,0
3.061693250,0,1
3.071674250,0,0
3.161522667,1,0
3.161537542,1,1
3.171501667,1,0
3.181484833,0,0
3.261346917,0,1
3.271326292,0,0
3.361161208,1,0
3.361176083,1,1
3.371139292,1,0
3.381121542,0,0
3.460972042,0,1
3.470951875,0,0
3.560801792,1,0
3.560816667,1,1
3.570780958,1,0
3.580764333,0,0
3.660626708,0,1
3.670608958,0,0
3.760470292,1,0
3.760485167,1,1
3.770451083,1,0
3.780434958,0,0
3.860304500,0,1
3.870285250,0,0
3.882666667,0,0
