Time [s],Channel 0
0.000000000,1
0.461321667,0
0.461331667,1
0.471306292,0
0.471316167,1
0.481291542,0
0.481301417,1
0.491276792,0
0.491286667,1
0.501261250,0
0.501271125,1
0.511244500,0
0.511254375,1
0.521227667,0
0.521237542,1
0.531214083,0
0.531223958,1
0.541198833,0
0.541208708,1
0.551183625,0
0.551193500,1
0.561168625,0
0.561178500,1
0.571153292,0
0.571163167,1
0.581137917,0
0.581147792,1
0.591123333,0
0.591133208,1
0.601107958,0
0.601117833,1
0.611091792,0
0.611101667,1
0.621075958,0
0.621085833,1
0.631061000,0
0.631070875,1
0.641046583,0
0.641056458,1
0.651030875,0
0.651040750,1
0.661015042,0
0.661024917,1
0.671000042,0
0.671009875,1
0.680984792,0
0.680994625,1
0.690969250,0
0.690979125,1
0.700953792,0
0.700963667,1
0.710937958,0
0.710947833,1
0.720921750,0
0.720931625,1
0.730906125,0
0.730916000,1
0.740889333,0
0.740899208,1
0.750872417,0
0.750882292,1
0.760855875,0
0.760865750,1
0.770838417,0
0.770848292,1
0.780820500,0
0.780830375,1
0.790804125,0
0.790814000,1
0.800787917,0
0.800797792,1
0.810771333,0
0.810781208,1
0.820754542,0
0.820764417,1
0.830737625,0
0.830747500,1
0.840722833,0
0.840732708,1
0.850707333,0
0.850717208,1
0.860691292,0
0.860701167,1
0.870676083,0
0.870685958,1
0.880661333,0
0.880671208,1
0.890645542,0
0.890655417,1
0.900630167,0
0.900640042,1
0.910614875,0
0.910624750,1
0.920598375,0
0.920608250,1
0.930582042,0
0.930591917,1
0.940566708,0
0.940576583,1
0.950551250,0
0.950561125,1
0.960537000,0
0.960546875,1
0.970521417,0
0.970531292,1
0.980505750,0
0.980515625,1
0.990490792,0
0.990500667,1
1.000475500,0
1.000485375,1
1.010458833,0
1.010468708,1
1.020441708,0
1.020451583,1
1.030424667,0
1.030434542,1
1.040409042,0
1.040418917,1
1.050393417,0
1.050403292,1
1.060378208,0
1.060388083,1
1.070362458,0
1.070372333,1
1.080347167,0
1.080357042,1
1.090331083,0
1.090340958,1
1.100315375,0
1.100325250,1
1.110299708,0
1.110309583,1
1.120283042,0
1.120292917,1
1.130266208,0
1.130276083,1
1.140250042,0
1.140259917,1
1.150233625,0
1.150243500,1
1.160218125,0
1.160228000,1
1.170200500,0
1.170210375,1
1.180185083,0
1.180194958,1
1.190169292,0
1.190179167,1
1.200152583,0
1.200162458,1
1.210137125,0
1.210147000,1
1.220120917,0
1.220130792,1
1.230104875,0
1.230114750,1
1.240087958,0
1.240097833,1
1.250071667,0
1.250081542,1
1.260056917,0
1.260066792,1
1.270042250,0
1.270052125,1
1.280027667,0
1.280037542,1
1.290012083,0
1.290021958,1
1.299995042,0
1.300004917,1
1.309977167,0
1.309987042,1
1.319961125,0
1.319971000,1
1.329943208,0
1.329953083,1
1.339925417,0
1.339935250,1
1.349908125,0
1.349918000,1
1.359891208,0
1.359901042,1
1.369874667,0
1.369884542,1
1.379857125,0
1.379867000,1
1.389839417,0
1.389849292,1
1.399821208,0
1.399831083,1
1.409804000,0
1.409813875,1
1.419787042,0
1.419796917,1
1.429770042,0
1.429779917,1
1.439753625,0
1.439763500,1
1.449738000,0
1.449747875,1
2.112706292,0
2.112716250,1
2.122690458,0
2.122700292,1
2.132675542,0
2.132685417,1
2.142660625,0
2.142670500,1
2.152645042,0
2.152654917,1
2.162630250,0
2.162640125,1
2.172614833,0
2.172624708,1
2.182599250,0
2.182609125,1
2.192583458,0
2.192593333,1
2.202568542,0
2.202578417,1
2.212553583,0
2.212563458,1
2.222538833,0
2.222548708,1
2.232523125,0
2.232533000,1
2.242506833,0
2.242516708,1
2.252491333,0
2.252501208,1
2.262476708,0
2.262486583,1
2.272461250,0
2.272471125,1
2.282445458,0
2.282455333,1
2.292430042,0
2.292439917,1
2.302414542,0
2.302424417,1
2.312399000,0
2.312408875,1
2.322383958,0
2.322393833,1
2.332368333,0
2.332378208,1
2.342351167,0
2.342361000,1
2.352334625,0
2.352344500,1
2.362320958,0
2.362330792,1
2.372306542,0
2.372316417,1
2.382292958,0
2.382302833,1
2.392279583,0
2.392289458,1
2.402265875,0
2.402275750,1
2.412252000,0
