Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.000000000,1,1,1,1,1,0
0.000075792,1,1,1,1,1,1
0.000079833,0,1,1,1,1,1
0.000082875,1,1,1,1,1,1
2.135315750,0,1,1,1,1,1
2.135319500,1,1,1,1,1,1
2.135324000,1,0,1,1,1,1
2.135330625,1,1,1,1,1,1
2.135335125,1,1,0,1,1,1
2.135347750,1,1,1,1,1,1
2.135352333,1,1,1,0,1,1
2.135376958,1,1,1,1,1,1
2.135381750,1,1,1,1,0,1
2.135430292,1,1,1,1,1,1
2.135435042,1,1,1,1,1,0
2.135531583,1,1,1,1,1,1
2.135536333,0,1,1,1,1,1
2.135539792,1,1,1,1,1,1
2.135543958,1,0,1,1,1,1
2.135550625,1,1,1,1,1,1
2.135554833,1,1,0,1,1,1
2.135567458,1,1,1,1,1,1
2.135571792,1,1,1,0,1,1
2.135596417,1,1,1,1,1,1
2.135600875,1,1,1,1,0,1
2.135649458,1,1,1,1,1,1
2.135653917,1,1,1,1,1,0
2.135750458,1,1,1,1,1,1
2.135755083,0,1,1,1,1,1
2.135758542,1,1,1,1,1,1
2.135762708,1,0,1,1,1,1
2.135769375,1,1,1,1,1,1
2.135773583,1,1,0,1,1,1
2.135786208,1,1,1,1,1,1
2.135790458,1,1,1,0,1,1
2.135815083,1,1,1,1,1,1
2.135819583,1,1,1,1,0,1
2.135868167,1,1,1,1,1,1
2.135872625,1,1,1,1,1,0
2.135969167,1,1,1,1,1,1
2.135973792,0,1,1,1,1,1
2.135977250,1,1,1,1,1,1
2.135981417,1,0,1,1,1,1
2.135988083,1,1,1,1,1,1
2.135992292,1,1,0,1,1,1
2.136004917,1,1,1,1,1,1
2.136009167,1,1,1,0,1,1
2.136033792,1,1,1,1,1,1
2.136038292,1,1,1,1,0,1
2.136086875,1,1,1,1,1,1
2.136091333,1,1,1,1,1,0
2.136188708,1,1,1,1,1,1
2.136193333,0,1,1,1,1,1
2.136196792,1,1,1,1,1,1
2.136201000,1,0,1,1,1,1
2.136207625,1,1,1,1,1,1
2.136211833,1,1,0,1,1,1
2.136224500,1,1,1,1,1,1
2.136228750,1,1,1,0,1,1
2.136253375,1,1,1,1,1,1
2.136257833,1,1,1,1,0,1
2.136306417,1,1,1,1,1,1
2.136310875,1,1,1,1,1,0
2.136407375,1,1,1,1,1,1
2.136412000,0,1,1,1,1,1
2.136415458,1,1,1,1,1,1
2.136419667,1,0,1,1,1,1
2.136426292,1,1,1,1,1,1
2.136430500,1,1,0,1,1,1
2.136443167,1,1,1,1,1,1
2.136447417,1,1,1,0,1,1
2.136472042,1,1,1,1,1,1
2.136476542,1,1,1,1,0,1
2.136525125,1,1,1,1,1,1
2.136529583,1,1,1,1,1,0
2.136626042,1,1,1,1,1,1
2.136630667,0,1,1,1,1,1
2.136634125,1,1,1,1,1,1
2.136638333,1,0,1,1,1,1
2.136644958,1,1,1,1,1,1
2.136649167,1,1,0,1,1,1
2.136661792,1,1,1,1,1,1
2.136666083,1,1,1,0,1,1
2.136690667,1,1,1,1,1,1
2.136695167,1,1,1,1,0,1
2.136743750,1,1,1,1,1,1
2.136748208,1,1,1,1,1,0
2.136844708,1,1,1,1,1,1
2.136849333,0,1,1,1,1,1
2.136852792,1,1,1,1,1,1
2.136857000,1,0,1,1,1,1
2.136863625,1,1,1,1,1,1
2.136867833,1,1,0,1,1,1
2.136880500,1,1,1,1,1,1
2.136884750,1,1,1,0,1,1
2.136909375,1,1,1,1,1,1
2.136913833,1,1,1,1,0,1
2.136962417,1,1,1,1,1,1
2.136966875,1,1,1,1,1,0
2.137063375,1,1,1,1,1,1
2.137068000,0,1,1,1,1,1
2.137071458,1,1,1,1,1,1
2.137075667,1,0,1,1,1,1
2.137082333,1,1,1,1,1,1
2.137086542,1,1,0,1,1,1
2.137099875,1,1,1,1,1,1
2.137104125,1,1,1,0,1,1
2.137128708,1,1,1,1,1,1
2.137133208,1,1,1,1,0,1
2.137181792,1,1,1,1,1,1
2.137186250,1,1,1,1,1,0
2.137282750,1,1,1,1,1,1
2.137287375,0,1,1,1,1,1
2.137290833,1,1,1,1,1,1
2.137295000,1,0,1,1,1,1
2.137301667,1,1,1,1,1,1
2.137305875,1,1,0,1,1,1
2.137318500,1,1,1,1,1,1
2.137322750,1,1,1,0,1,1
2.137347375,1,1,1,1,1,1
2.137351875,1,1,1,1,0,1
2.137400458,1,1,1,1,1,1
2.137404917,1,1,1,1,1,0
2.137501417,1,1,1,1,1,1
2.137506042,0,1,1,1,1,1
2.137509500,1,1,1,1,1,1
2.137513667,1,0,1,1,1,1
2.137520333,1,1,1,1,1,1
2.137524542,1,1,0,1,1,1
2.137537167,1,1,1,1,1,1
2.137541458,1,1,1,0,1,1
2.137566042,1,1,1,1,1,1
2.137570542,1,1,1,1,0,1
2.137619125,1,1,1,1,1,1
2.137623583,1,1,1,1,1,0
2.137720083,1,1,1,1,1,1
2.137724708,0,1,1,1,1,1
2.137728167,1,1,1,1,1,1
2.137732375,1,0,1,1,1,1
2.137739000,1,1,1,1,1,1
2.137743208,1,1,0,1,1,1
2.137755875,1,1,1,1,1,1
2.137760125,1,1,1,0,1,1
2.137784750,1,1,1,1,1,1
2.137789208,1,1,1,1,0,1
2.137837833,1,1,1,1,1,1
2.137842292,1,1,1,1,1,0
2.137938792,1,1,1,1,1,1
2.137943417,0,1,1,1,1,1
2.137946875,1,1,1,1,1,1
2.137951083,1,0,1,1,1,1
2.137957708,1,1,1,1,1,1
2.137961917,1,1,0,1,1,1
2.137974542,1,1,1,1,1,1
2.137978833,1,1,1,0,1,1
2.138003458,1,1,1,1,1,1
2.138007917,1,1,1,1,0,1
2.138056500,1,1,1,1,1,1
2.138060958,1,1,1,1,1,0
2.138158208,1,1,1,1,1,1
2.138162833,0,1,1,1,1,1
2.138166250,1,1,1,1,1,1
2.138170458,1,0,1,1,1,1
2.138177125,1,1,1,1,1,1
