Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.000000000,1,1,1,1,1,1
1.993691125,0,1,1,1,1,1
1.993694292,1,1,1,1,1,1
1.993698375,1,0,1,1,1,1
1.993703792,1,1,1,1,1,1
1.993707875,1,1,0,1,1,1
1.993718125,1,1,1,1,1,1
1.993722292,1,1,1,0,1,1
1.993742125,1,1,1,1,1,1
1.993746250,1,1,1,1,0,1
1.993785250,1,1,1,1,1,1
1.993789333,1,1,1,1,1,0
1.993866667,1,1,1,1,1,1
1.993870833,0,1,1,1,1,1
1.993873875,1,1,1,1,1,1
1.993877667,1,0,1,1,1,1
1.993883125,1,1,1,1,1,1
1.993886958,1,1,0,1,1,1
1.993897167,1,1,1,1,1,1
1.993901042,1,1,1,0,1,1
1.993920875,1,1,1,1,1,1
1.993924708,1,1,1,1,0,1
1.993963708,1,1,1,1,1,1
1.993967542,1,1,1,1,1,0
1.994044875,1,1,1,1,1,1
1.994048917,0,1,1,1,1,1
1.994051958,1,1,1,1,1,1
1.994055750,1,0,1,1,1,1
1.994061208,1,1,1,1,1,1
1.994065000,1,1,0,1,1,1
1.994075250,1,1,1,1,1,1
1.994079042,1,1,1,0,1,1
1.994098875,1,1,1,1,1,1
1.994102708,1,1,1,1,0,1
1.994141708,1,1,1,1,1,1
1.994145542,1,1,1,1,1,0
1.994222875,1,1,1,1,1,1
1.994226875,0,1,1,1,1,1
1.994229917,1,1,1,1,1,1
1.994233750,1,0,1,1,1,1
1.994239167,1,1,1,1,1,1
1.994243000,1,1,0,1,1,1
1.994253250,1,1,1,1,1,1
1.994257042,1,1,1,0,1,1
1.994276875,1,1,1,1,1,1
1.994280708,1,1,1,1,0,1
1.994319708,1,1,1,1,1,1
1.994323500,1,1,1,1,1,0
1.994400875,1,1,1,1,1,1
1.994404875,0,1,1,1,1,1
1.994407958,1,1,1,1,1,1
1.994411750,1,0,1,1,1,1
1.994417208,1,1,1,1,1,1
1.994421000,1,1,0,1,1,1
1.994431250,1,1,1,1,1,1
1.994435042,1,1,1,0,1,1
1.994454875,1,1,1,1,1,1
1.994458708,1,1,1,1,0,1
1.994498542,1,1,1,1,1,1
1.994502375,1,1,1,1,1,0
1.994579708,1,1,1,1,1,1
1.994583708,0,1,1,1,1,1
1.994586792,1,1,1,1,1,1
1.994590583,1,0,1,1,1,1
1.994596042,1,1,1,1,1,1
1.994599833,1,1,0,1,1,1
1.994610083,1,1,1,1,1,1
1.994613875,1,1,1,0,1,1
1.994633708,1,1,1,1,1,1
1.994637542,1,1,1,1,0,1
1.994676542,1,1,1,1,1,1
1.994680333,1,1,1,1,1,0
1.994757708,1,1,1,1,1,1
1.994761708,0,1,1,1,1,1
1.994764792,1,1,1,1,1,1
1.994768583,1,0,1,1,1,1
1.994774000,1,1,1,1,1,1
1.994777833,1,1,0,1,1,1
1.994788083,1,1,1,1,1,1
1.994791875,1,1,1,0,1,1
1.994811708,1,1,1,1,1,1
1.994815542,1,1,1,1,0,1
1.994854542,1,1,1,1,1,1
1.994858333,1,1,1,1,1,0
1.994935667,1,1,1,1,1,1
1.994939708,0,1,1,1,1,1
1.994942750,1,1,1,1,1,1
1.994946542,1,0,1,1,1,1
1.994952000,1,1,1,1,1,1
1.994955792,1,1,0,1,1,1
1.994966042,1,1,1,1,1,1
1.994969875,1,1,1,0,1,1
1.994989667,1,1,1,1,1,1
1.994993500,1,1,1,1,0,1
1.995032542,1,1,1,1,1,1
1.995036333,1,1,1,1,1,0
1.995113667,1,1,1,1,1,1
1.995117667,0,1,1,1,1,1
1.995120750,1,1,1,1,1,1
1.995124542,1,0,1,1,1,1
1.995129958,1,1,1,1,1,1
1.995133792,1,1,0,1,1,1
1.995144042,1,1,1,1,1,1
1.995147833,1,1,1,0,1,1
1.995167667,1,1,1,1,1,1
1.995171500,1,1,1,1,0,1
1.995210500,1,1,1,1,1,1
1.995214292,1,1,1,1,1,0
1.995291625,1,1,1,1,1,1
1.995295667,0,1,1,1,1,1
1.995298708,1,1,1,1,1,1
1.995302500,1,0,1,1,1,1
1.995307958,1,1,1,1,1,1
1.995311792,1,1,0,1,1,1
1.995322000,1,1,1,1,1,1
1.995325833,1,1,1,0,1,1
1.995345667,1,1,1,1,1,1
1.995349500,1,1,1,1,0,1
1.995388500,1,1,1,1,1,1
1.995392292,1,1,1,1,1,0
1.995470292,1,1,1,1,1,1
1.995474292,0,1,1,1,1,1
1.995477333,1,1,1,1,1,1
1.995481125,1,0,1,1,1,1
1.995486583,1,1,1,1,1,1
1.995490417,1,1,0,1,1,1
1.995500625,1,1,1,1,1,1
1.995504458,1,1,1,0,1,1
1.995524292,1,1,1,1,1,1
1.995528125,1,1,1,1,0,1
1.995567125,1,1,1,1,1,1
1.995570917,1,1,1,1,1,0
1.995648250,1,1,1,1,1,1
1.995652292,0,1,1,1,1,1
1.995655333,1,1,1,1,1,1
1.995659125,1,0,1,1,1,1
1.995664583,1,1,1,1,1,1
1.995668375,1,1,0,1,1,1
1.995678625,1,1,1,1,1,1
1.995682417,1,1,1,0,1,1
1.995702250,1,1,1,1,1,1
1.995706083,1,1,1,1,0,1
1.995745083,1,1,1,1,1,1
1.995748875,1,1,1,1,1,0
1.995826208,1,1,1,1,1,1
1.995830250,0,1,1,1,1,1
1.995833292,1,1,1,1,1,1
1.995837083,1,0,1,1,1,1
1.995842542,1,1,1,1,1,1
1.995846375,1,1,0,1,1,1
1.995856625,1,1,1,1,1,1
1.995860417,1,1,1,0,1,1
1.995880250,1,1,1,1,1,1
1.995884083,1,1,1,1,0,1
1.995923083,1,1,1,1,1,1
1.995926875,1,1,1,1,1,0
1.996004250,1,1,1,1,1,1
1.996008250,0,1,1,1,1,1
1.996011333,1,1,1,1,1,1
1.996015125,1,0,1,1,1,1
1.996020542,1,1,1,1,1,1
1.996024375,1,1,0,1,1,1
1.996034625,1,1,1,1,1,1
1.996038417,1,1,1,0,1,1
1.996058250,1,1,1,1,1,1
1.996062083,1,1,1,1,0,1
1.996101083,1,1,1,1,1,1
1.996104875,1,1,1,1,1,0
1.996182208,1,1,1,1,1,1
1.996186250,0,1,1,1,1,1
1.996189292,1,1,1,1,1,1
1.996193083,1,0,1,1,1,1
1.996198542,1,1,1,1,1,1
1.996202333,1,1,0,1,1,1
1.996212583,1,1,1,1,1,1
