Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.000000000,1,1,1,1,1,0
0.000061583,1,1,1,1,1,1
0.000066833,0,1,1,1,1,1
0.000072042,1,1,1,1,1,1
0.000076583,1,0,1,1,1,1
0.000084083,1,1,1,1,1,1
2.622927833,0,1,1,1,1,1
2.622934333,1,1,1,1,1,1
2.622939125,1,0,1,1,1,1
2.622946708,1,1,1,1,1,1
2.622951208,1,1,0,1,1,1
2.622963375,1,1,1,1,1,1
2.622967958,1,1,1,0,1,1
2.622990083,1,1,1,1,1,1
2.622994708,1,1,1,1,0,1
2.623036083,1,1,1,1,1,1
2.623040625,1,1,1,1,1,0
2.623120542,1,1,1,1,1,1
2.623125792,0,1,1,1,1,1
2.623131000,1,1,1,1,1,1
2.623135500,1,0,1,1,1,1
2.623143042,1,1,1,1,1,1
2.623147500,1,1,0,1,1,1
2.623159667,1,1,1,1,1,1
2.623164208,1,1,1,0,1,1
2.623186375,1,1,1,1,1,1
2.623190917,1,1,1,1,0,1
2.623232333,1,1,1,1,1,1
2.623236833,1,1,1,1,1,0
2.623316750,1,1,1,1,1,1
2.623322042,0,1,1,1,1,1
2.623327208,1,1,1,1,1,1
2.623331708,1,0,1,1,1,1
2.623339250,1,1,1,1,1,1
2.623343750,1,1,0,1,1,1
2.623355875,1,1,1,1,1,1
2.623360458,1,1,1,0,1,1
2.623382583,1,1,1,1,1,1
2.623387167,1,1,1,1,0,1
2.623428542,1,1,1,1,1,1
2.623433083,1,1,1,1,1,0
2.623513042,1,1,1,1,1,1
2.623518292,0,1,1,1,1,1
2.623523458,1,1,1,1,1,1
2.623528000,1,0,1,1,1,1
2.623535500,1,1,1,1,1,1
2.623540000,1,1,0,1,1,1
2.623552167,1,1,1,1,1,1
2.623556708,1,1,1,0,1,1
2.623578875,1,1,1,1,1,1
2.623583417,1,1,1,1,0,1
2.623624833,1,1,1,1,1,1
2.623629333,1,1,1,1,1,0
2.623709708,1,1,1,1,1,1
2.623715167,0,1,1,1,1,1
2.623720417,1,1,1,1,1,1
2.623724958,1,0,1,1,1,1
2.623732500,1,1,1,1,1,1
2.623737000,1,1,0,1,1,1
2.623749167,1,1,1,1,1,1
2.623753708,1,1,1,0,1,1
2.623775875,1,1,1,1,1,1
2.623780417,1,1,1,1,0,1
2.623821833,1,1,1,1,1,1
2.623826333,1,1,1,1,1,0
2.623906292,1,1,1,1,1,1
2.623911542,0,1,1,1,1,1
2.623916708,1,1,1,1,1,1
2.623921250,1,0,1,1,1,1
2.623928750,1,1,1,1,1,1
2.623933250,1,1,0,1,1,1
2.623945417,1,1,1,1,1,1
2.623949958,1,1,1,0,1,1
2.623972083,1,1,1,1,1,1
2.623976667,1,1,1,1,0,1
2.624018083,1,1,1,1,1,1
2.624022583,1,1,1,1,1,0
2.624102542,1,1,1,1,1,1
2.624107792,0,1,1,1,1,1
2.624113000,1,1,1,1,1,1
2.624117500,1,0,1,1,1,1
2.624125042,1,1,1,1,1,1
2.624129500,1,1,0,1,1,1
2.624141667,1,1,1,1,1,1
2.624146208,1,1,1,0,1,1
2.624168375,1,1,1,1,1,1
2.624172917,1,1,1,1,0,1
2.624214333,1,1,1,1,1,1
2.624218875,1,1,1,1,1,0
2.624298792,1,1,1,1,1,1
2.624304042,0,1,1,1,1,1
2.624309208,1,1,1,1,1,1
2.624313750,1,0,1,1,1,1
2.624321250,1,1,1,1,1,1
2.624325750,1,1,0,1,1,1
2.624337917,1,1,1,1,1,1
2.624342458,1,1,1,0,1,1
2.624364625,1,1,1,1,1,1
2.624369167,1,1,1,1,0,1
2.624410583,1,1,1,1,1,1
2.624415083,1,1,1,1,1,0
2.624495042,1,1,1,1,1,1
2.624500292,0,1,1,1,1,1
2.624505500,1,1,1,1,1,1
2.624510000,1,0,1,1,1,1
2.624517542,1,1,1,1,1,1
2.624522042,1,1,0,1,1,1
2.624534167,1,1,1,1,1,1
2.624538708,1,1,1,0,1,1
2.624560875,1,1,1,1,1,1
2.624565417,1,1,1,1,0,1
2.624606833,1,1,1,1,1,1
2.624611333,1,1,1,1,1,0
2.624691292,1,1,1,1,1,1
2.624696542,0,1,1,1,1,1
2.624701750,1,1,1,1,1,1
2.624706333,1,0,1,1,1,1
2.624714750,1,1,1,1,1,1
2.624719250,1,1,0,1,1,1
2.624731458,1,1,1,1,1,1
2.624736000,1,1,1,0,1,1
2.624758167,1,1,1,1,1,1
2.624762708,1,1,1,1,0,1
2.624804125,1,1,1,1,1,1
2.624808625,1,1,1,1,1,0
2.624888583,1,1,1,1,1,1
2.624893833,0,1,1,1,1,1
2.624899042,1,1,1,1,1,1
2.624903542,1,0,1,1,1,1
2.624911083,1,1,1,1,1,1
2.624915583,1,1,0,1,1,1
2.624927708,1,1,1,1,1,1
2.624932250,1,1,1,0,1,1
2.624954417,1,1,1,1,1,1
2.624959000,1,1,1,1,0,1
2.625000417,1,1,1,1,1,1
2.625004917,1,1,1,1,1,0
2.625084875,1,1,1,1,1,1
2.625090125,0,1,1,1,1,1
2.625095292,1,1,1,1,1,1
2.625099833,1,0,1,1,1,1
2.625107333,1,1,1,1,1,1
2.625111833,1,1,0,1,1,1
2.625124000,1,1,1,1,1,1
2.625128542,1,1,1,0,1,1
2.625150708,1,1,1,1,1,1
2.625155250,1,1,1,1,0,1
2.625196667,1,1,1,1,1,1
2.625201167,1,1,1,1,1,0
2.625281083,1,1,1,1,1,1
2.625286375,0,1,1,1,1,1
2.625291542,1,1,1,1,1,1
2.625296042,1,0,1,1,1,1
2.625303583,1,1,1,1,1,1
2.625308083,1,1,0,1,1,1
2.625320208,1,1,1,1,1,1
2.625324792,1,1,1,0,1,1
2.625346917,1,1,1,1,1,1
2.625351500,1,1,1,1,0,1
2.625392875,1,1,1,1,1,1
2.625397417,1,1,1,1,1,0
2.625477333,1,1,1,1,1,1
2.625482583,0,1,1,1,1,1
2.625487750,1,1,1,1,1,1
2.625492292,1,0,1,1,1,1
2.625499792,1,1,1,1,1,1
2.625504292,1,1,0,1,1,1
2.625516458,1,1,1,1,1,1
2.625521000,1,1,1,0,1,1
2.625543167,1,1,1,1,1,1
2.625547708,1,1,1,1,0,1
2.625589083,1,1,1,1,1,1
2.625593625,1,1,1,1,1,0
2.625673542,1,1,1,1,1,1
2.625678792,0,1,1,1,1,1
2.625683958,1,1,1,1,1,1
2.625688500,1,0,1,1,1,1
2.625696000,1,1,1,1,1,1
2.625701417,1,1,0,1,1,1
2.625714458,1,1,1,1,1,1
2.625719000,1,1,1,0,1,1
2.625741208,1,1,1,1,1,1
2.625745750,1,1,1,1,0,1
2.625787167,1,1,1,1,1,1
2.625791667,1,1,1,1,1,0
2.625871625,1,1,1,1,1,1
2.625876875,0,1,1,1,1,1
2.625882042,1,1,1,1,1,1
2.625886583,1,0,1,1,1,1
2.625894083,1,1,1,1,1,1
