Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.000000000,1,1,1,1,0,1
0.000002125,1,1,1,1,1,1
0.000005917,1,1,1,1,1,0
0.000083250,1,1,1,1,1,1
1.391868375,0,1,1,1,1,1
1.391874750,1,1,1,1,1,1
1.391878958,1,0,1,1,1,1
1.391886542,1,1,1,1,1,1
1.391890667,1,1,0,1,1,1
1.391902708,1,1,1,1,1,1
1.391906917,1,1,1,0,1,1
1.391927375,1,1,1,1,1,1
1.391931583,1,1,1,1,0,1
1.391970292,1,1,1,1,1,1
1.391974417,1,1,1,1,1,0
1.392048125,1,1,1,1,1,1
1.392053000,0,1,1,1,1,1
1.392058208,1,1,1,1,1,1
1.392062333,1,0,1,1,1,1
1.392069833,1,1,1,1,1,1
1.392073917,1,1,0,1,1,1
1.392086000,1,1,1,1,1,1
1.392090167,1,1,1,0,1,1
1.392110583,1,1,1,1,1,1
1.392114750,1,1,1,1,0,1
1.392153458,1,1,1,1,1,1
1.392157583,1,1,1,1,1,0
1.392231292,1,1,1,1,1,1
1.392236167,0,1,1,1,1,1
1.392241375,1,1,1,1,1,1
1.392245500,1,0,1,1,1,1
1.392253000,1,1,1,1,1,1
1.392257083,1,1,0,1,1,1
1.392269167,1,1,1,1,1,1
1.392273333,1,1,1,0,1,1
1.392293792,1,1,1,1,1,1
1.392297958,1,1,1,1,0,1
1.392336667,1,1,1,1,1,1
1.392340750,1,1,1,1,1,0
1.392414500,1,1,1,1,1,1
1.392419333,0,1,1,1,1,1
1.392424583,1,1,1,1,1,1
1.392428708,1,0,1,1,1,1
1.392436208,1,1,1,1,1,1
1.392440292,1,1,0,1,1,1
1.392452375,1,1,1,1,1,1
1.392456542,1,1,1,0,1,1
1.392476958,1,1,1,1,1,1
1.392481125,1,1,1,1,0,1
1.392519833,1,1,1,1,1,1
1.392523958,1,1,1,1,1,0
1.392597667,1,1,1,1,1,1
1.392602542,0,1,1,1,1,1
1.392607750,1,1,1,1,1,1
1.392611875,1,0,1,1,1,1
1.392619375,1,1,1,1,1,1
1.392623458,1,1,0,1,1,1
1.392635542,1,1,1,1,1,1
1.392639708,1,1,1,0,1,1
1.392661667,1,1,1,1,1,1
1.392666042,1,1,1,1,0,1
1.392704792,1,1,1,1,1,1
1.392708917,1,1,1,1,1,0
1.392782625,1,1,1,1,1,1
1.392787500,0,1,1,1,1,1
1.392792708,1,1,1,1,1,1
1.392796833,1,0,1,1,1,1
1.392804333,1,1,1,1,1,1
1.392808417,1,1,0,1,1,1
1.392820500,1,1,1,1,1,1
1.392824667,1,1,1,0,1,1
1.392845125,1,1,1,1,1,1
1.392849250,1,1,1,1,0,1
1.392887958,1,1,1,1,1,1
1.392892083,1,1,1,1,1,0
1.392965833,1,1,1,1,1,1
1.392970667,0,1,1,1,1,1
1.392975917,1,1,1,1,1,1
1.392980042,1,0,1,1,1,1
1.392987542,1,1,1,1,1,1
1.392991625,1,1,0,1,1,1
1.393003708,1,1,1,1,1,1
1.393007875,1,1,1,0,1,1
1.393028333,1,1,1,1,1,1
1.393032500,1,1,1,1,0,1
1.393071208,1,1,1,1,1,1
1.393075292,1,1,1,1,1,0
1.393149042,1,1,1,1,1,1
1.393153917,0,1,1,1,1,1
1.393159125,1,1,1,1,1,1
1.393163250,1,0,1,1,1,1
1.393170750,1,1,1,1,1,1
1.393174833,1,1,0,1,1,1
1.393186917,1,1,1,1,1,1
1.393191083,1,1,1,0,1,1
1.393211542,1,1,1,1,1,1
1.393215708,1,1,1,1,0,1
1.393254417,1,1,1,1,1,1
1.393258500,1,1,1,1,1,0
1.393332250,1,1,1,1,1,1
1.393337125,0,1,1,1,1,1
1.393342333,1,1,1,1,1,1
1.393346458,1,0,1,1,1,1
1.393353958,1,1,1,1,1,1
1.393358042,1,1,0,1,1,1
1.393370125,1,1,1,1,1,1
